image_id,accuracy,iou,f1
01,0.960516,0.653409,0.790378
02,0.962726,0.691197,0.817406
03,0.952473,0.591274,0.743145
04,0.963238,0.656530,0.792657
05,0.960447,0.624777,0.769062
06,0.957580,0.616384,0.762670
07,0.961407,0.633954,0.775976
08,0.958459,0.580119,0.734273
09,0.961635,0.587614,0.740248
10,0.962947,0.626869,0.770645
11,0.960359,0.634831,0.776632
12,0.963099,0.641882,0.781886
13,0.958337,0.636178,0.777639
14,0.965008,0.652794,0.789928
15,0.965256,0.629129,0.772350
16,0.964814,0.670020,0.802410
17,0.960622,0.607094,0.755518
18,0.963111,0.632166,0.774634
19,0.966908,0.682726,0.811452
20,0.964929,0.625586,0.769675
mean,0.961694,0.633727,0.775429
std,0.003238,0.028631,0.021455
